IP,Count
172.68.144.200,324610
172.68.146.27,280440
172.69.134.106,256200
172.68.144.176,217010
162.158.165.125,206080
162.158.165.199,200260
172.31.2.172,195570
172.68.146.111,190250
172.69.134.34,184570
172.68.146.231,179860
172.68.146.51,173790
172.69.134.154,173720
172.31.31.242,171260
162.158.165.175,161290
172.69.134.178,152260
162.158.165.17,136580
162.158.166.168,133360
172.69.135.89,105610
172.68.242.119,83540
172.68.242.101,77650
172.31.11.47,71000
172.31.17.156,70300
172.31.28.253,68680
172.68.242.173,68570
172.68.234.77,67980
172.68.234.107,64590
172.68.234.5,63140
172.68.242.77,60520
172.68.234.65,56480
172.68.6.59,34590
172.68.6.9,32820
172.68.6.23,31840
172.68.6.37,23950
162.158.204.181,22440
172.68.254.151,20610
172.68.106.95,19390
162.158.204.169,16160
172.68.106.53,15980
162.158.219.77,14540
172.68.106.41,14350
162.158.219.35,14240
172.68.106.107,12190
172.68.255.21,10650
162.158.204.193,10150
172.68.253.24,10080
162.158.179.29,9840
162.158.179.113,9640
162.158.219.53,8070
172.68.253.132,7090
162.158.204.151,6800
172.68.253.144,6450
162.158.219.65,6280
162.158.219.107,4570
172.68.253.48,4440
162.158.219.5,4290
172.68.255.15,4180
172.68.253.30,3300
172.68.253.168,3230
172.68.254.97,3210
162.158.219.11,3190
162.158.178.244,3130
172.68.253.222,3080
162.158.178.5,2790
172.68.255.129,2680
172.68.255.105,2550
118.70.254.68,2350
172.68.254.49,2260
162.158.178.190,2240
172.68.255.123,2200
172.68.254.169,1930
162.158.179.131,1760
162.158.178.220,1720
183.80.214.24,1640
172.68.254.7,1580
162.158.179.227,1360
54.169.133.22,1200
172.68.253.150,1130
162.158.166.174,1040
162.158.178.46,980
27.72.105.183,950
162.158.179.233,870
172.68.254.139,710
108.162.237.167,640
172.68.242.185,600
162.158.179.65,580
162.158.178.112,580
162.158.179.239,580
172.68.255.183,530
172.68.255.57,530
172.68.253.216,480
108.162.237.35,460
162.158.167.73,450
134.236.242.72,450
162.158.219.89,440
108.162.216.95,440
172.68.59.43,400
162.158.186.241,390
162.158.187.8,380
172.68.253.36,350
162.158.74.76,330
108.162.226.42,320
172.68.253.228,310
172.68.254.145,310
172.68.253.234,310
172.68.254.121,310
172.68.255.99,310
162.158.186.121,310
162.158.238.161,300
162.158.74.118,300
141.101.77.183,300
162.158.75.137,290
162.158.75.197,290
172.69.54.250,280
162.158.106.19,280
172.68.253.120,270
172.69.63.20,270
162.158.219.17,270
108.162.216.89,250
162.158.158.22,250
172.69.69.29,250
172.69.68.218,250
80.82.77.139,250
162.158.107.56,250
108.162.238.78,250
162.158.186.37,240
162.158.187.50,220
162.158.167.247,220
108.162.238.60,220
172.68.59.193,210
108.162.237.161,200
162.158.243.60,200
172.68.58.18,200
172.68.58.132,200
162.158.74.190,200
71.6.199.23,200
141.101.69.94,200
172.69.226.174,200
108.162.245.179,200
162.158.166.30,200
108.162.229.77,200
162.158.118.113,180
172.68.234.95,180
162.158.219.59,180
162.158.219.113,180
108.162.216.65,170
108.162.237.185,170
172.68.253.192,160
103.22.200.151,160
162.158.243.18,150
162.158.243.121,150
162.158.243.143,150
162.158.243.147,150
172.69.63.70,150
162.158.243.181,150
162.158.238.71,150
172.69.70.222,150
162.158.165.103,140
172.69.68.4,140
103.22.200.169,140
172.68.242.107,140
162.158.106.67,130
162.158.219.101,130
103.22.200.247,130
172.68.242.155,130
172.69.226.204,120
162.158.158.10,120
141.101.107.193,120
141.101.69.160,120
108.162.216.149,120
108.162.216.113,120
108.162.238.54,120
172.69.68.52,100
162.158.93.220,100
162.158.79.84,100
172.69.69.245,100
172.69.69.5,100
172.68.246.129,100
162.158.243.133,100
162.158.243.137,100
172.69.68.106,100
162.158.243.54,100
162.158.219.71,100
162.158.243.149,100
172.68.242.41,100
162.158.106.85,100
172.68.242.89,100
172.68.242.5,100
172.68.242.29,100
172.68.146.15,90
172.68.146.45,90
162.158.167.85,90
172.69.69.47,90
172.68.146.249,90
109.235.58.226,90
172.69.54.88,90
162.158.165.143,90
162.158.243.161,90
216.245.197.254,90
172.69.134.124,90
172.69.134.88,90
162.158.167.235,90
172.68.65.127,90
162.158.118.77,90
172.69.135.125,90
172.69.135.17,90
172.69.135.35,90
172.68.65.163,90
172.69.134.142,90
108.162.245.119,90
162.158.167.31,90
172.68.6.65,80
162.158.79.162,80
172.69.62.167,80
172.68.253.162,80
162.158.158.122,80
108.162.229.221,80
172.68.58.12,80
172.69.63.34,80
205.209.181.242,80
172.68.242.53,80
172.69.62.71,80
172.69.63.40,80
172.68.65.211,80
172.69.63.64,80
172.68.242.83,80
103.22.200.211,80
103.22.200.79,80
162.158.166.96,80
172.68.242.17,80
,55
162.158.79.36,50
179.98.250.237,50
172.69.68.39,50
108.162.219.173,50
172.68.246.153,50
172.69.68.37,50
162.158.93.136,50
162.158.238.17,50
172.69.68.42,50
172.69.70.24,50
162.158.165.117,50
172.69.70.12,50
162.158.78.173,50
172.69.68.82,50
206.189.86.154,50
172.69.54.214,50
162.158.118.119,50
45.55.188.183,50
36.71.232.141,50
162.158.78.119,50
172.69.55.119,50
108.162.212.174,50
172.68.143.97,50
123.56.49.19,50
172.69.68.9,50
62.244.26.174,50
162.158.78.251,50
172.69.69.125,50
188.129.254.80,50
172.69.69.113,50
172.69.69.239,50
69.171.251.30,50
141.101.76.173,50
172.104.108.109,50
172.68.244.235,50
188.114.111.108,50
162.158.243.119,50
49.145.179.231,50
162.158.78.23,50
162.158.243.123,50
172.69.68.112,50
201.220.156.68,50
162.158.243.135,50
162.158.243.36,50
66.240.205.34,50
189.46.122.127,50
172.69.68.19,50
172.69.68.18,50
189.38.163.22,50
162.158.243.42,50
172.69.68.10,50
172.69.68.13,50
172.69.69.149,50
162.158.106.13,50
71.6.232.7,50
71.6.232.4,50
41.216.147.53,50
172.69.68.21,50
162.158.243.167,50
191.193.35.164,50
162.158.243.179,50
172.68.242.149,50
162.158.243.171,50
162.158.122.241,50
162.158.243.175,50
170.233.47.249,50
168.181.255.83,50
162.158.243.84,50
172.68.242.59,50
162.158.243.157,50
162.158.243.159,50
162.158.186.163,50
162.158.243.151,50
196.52.43.90,50
162.158.107.140,50
198.108.66.16,50
172.69.62.95,50
162.158.62.82,50
162.158.79.6,50
198.108.66.48,50
45.71.228.3,50
141.101.76.131,50
172.68.242.95,50
162.158.187.14,50
190.184.144.221,50
108.162.237.53,50
67.252.5.245,50
200.229.147.195,50
172.69.70.252,50
62.128.217.73,50
172.69.70.246,50
103.50.7.162,50
172.69.70.156,50
162.158.63.215,50
172.69.135.197,50
172.69.70.216,50
172.68.58.192,50
172.68.242.179,50
162.158.134.179,50
107.170.197.213,50
141.101.77.207,50
184.105.139.69,50
172.69.62.47,50
191.242.245.205,40
36.152.65.197,40
162.158.63.149,40
162.158.154.8,40
141.101.88.149,40
175.156.58.132,40
141.101.99.48,40
162.158.158.52,40
51.211.180.51,40
178.216.26.77,40
94.21.116.209,40
196.2.14.184,40
122.117.245.229,40
58.82.232.191,40
198.167.223.52,40
103.65.193.129,40
162.158.186.217,40
172.68.65.7,40
115.236.33.148,40
80.99.251.251,40
172.69.22.51,40
172.69.22.57,40
108.162.229.107,40
54.92.252.103,40
162.158.187.32,40
172.69.69.197,40
104.152.52.21,40
172.68.106.29,40
220.189.249.66,40
78.164.207.141,40
172.68.106.35,40
201.92.114.115,40
162.158.186.85,40
217.219.21.25,40
96.127.158.234,40
162.158.75.29,40
172.68.143.205,40
108.162.237.209,40
141.101.69.112,40
172.69.135.113,40
162.158.118.59,40
172.69.63.68,40
141.101.69.82,40
162.158.75.179,40
141.101.107.223,40
172.68.253.78,40
162.158.118.71,40
108.162.237.47,40
192.241.193.206,40
162.158.155.243,40
173.245.52.68,40
172.69.70.72,40
108.162.216.119,40
172.69.226.12,40
172.68.6.11,40
177.105.228.61,40
186.18.173.35,40
103.22.200.145,40
108.162.238.102,40
162.158.155.165,40
172.68.6.29,40
172.68.234.113,40
162.158.154.146,40
162.158.155.63,40
